PRISM Time Series Data
Locations: 4
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2021-01-01 - 2021-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Apr-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
North Rim,-112.0860,36.2819,2631,2021-01-01,0.00,-9.0,-4.9,-0.8
North Rim,-112.0860,36.2819,2631,2021-01-02,0.00,-9.1,-3.0,3.0
North Rim,-112.0860,36.2819,2631,2021-01-03,0.00,-5.2,1.1,7.5
North Rim,-112.0860,36.2819,2631,2021-01-04,0.00,-4.7,3.1,10.8
North Rim,-112.0860,36.2819,2631,2021-01-05,0.00,-3.6,4.2,12.0
North Rim,-112.0860,36.2819,2631,2021-01-06,0.00,-8.6,0.3,9.2
North Rim,-112.0860,36.2819,2631,2021-01-07,0.00,-5.3,1.5,8.3
North Rim,-112.0860,36.2819,2631,2021-01-08,0.00,-5.7,4.5,14.7
North Rim,-112.0860,36.2819,2631,2021-01-09,0.00,-5.7,2.9,11.4
North Rim,-112.0860,36.2819,2631,2021-01-10,0.00,-11.3,-4.7,2.0
North Rim,-112.0860,36.2819,2631,2021-01-11,0.00,-11.4,-1.9,7.5
North Rim,-112.0860,36.2819,2631,2021-01-12,0.00,-13.0,-4.2,4.6
North Rim,-112.0860,36.2819,2631,2021-01-13,0.00,-8.7,-0.9,6.9
North Rim,-112.0860,36.2819,2631,2021-01-14,0.00,0.3,7.3,14.2
North Rim,-112.0860,36.2819,2631,2021-01-15,0.00,-2.5,4.1,10.8
North Rim,-112.0860,36.2819,2631,2021-01-16,0.00,0.4,8.1,15.9
North Rim,-112.0860,36.2819,2631,2021-01-17,0.00,-3.5,2.5,8.6
North Rim,-112.0860,36.2819,2631,2021-01-18,0.00,-1.4,7.5,16.4
North Rim,-112.0860,36.2819,2631,2021-01-19,0.00,-5.6,-0.2,5.3
North Rim,-112.0860,36.2819,2631,2021-01-20,2.52,-6.8,-4.7,-2.6
North Rim,-112.0860,36.2819,2631,2021-01-21,0.00,-4.6,2.0,8.6
North Rim,-112.0860,36.2819,2631,2021-01-22,0.00,-3.5,2.0,7.5
North Rim,-112.0860,36.2819,2631,2021-01-23,22.95,-4.5,-1.9,0.8
North Rim,-112.0860,36.2819,2631,2021-01-24,21.59,-7.3,-3.8,-0.3
North Rim,-112.0860,36.2819,2631,2021-01-25,19.06,-7.7,-5.1,-2.5
North Rim,-112.0860,36.2819,2631,2021-01-26,33.37,-12.3,-9.0,-5.8
North Rim,-112.0860,36.2819,2631,2021-01-27,16.78,-13.5,-8.8,-4.1
North Rim,-112.0860,36.2819,2631,2021-01-28,7.80,-14.2,-8.1,-2.1
North Rim,-112.0860,36.2819,2631,2021-01-29,0.00,-3.5,2.0,7.5
North Rim,-112.0860,36.2819,2631,2021-01-30,19.64,-7.3,-4.3,-1.4
North Rim,-112.0860,36.2819,2631,2021-01-31,0.00,-13.0,-3.3,6.3
North Rim,-112.0860,36.2819,2631,2021-02-01,0.00,-10.8,-2.8,5.1
North Rim,-112.0860,36.2819,2631,2021-02-02,3.59,-0.7,3.0,6.8
North Rim,-112.0860,36.2819,2631,2021-02-03,0.00,1.5,3.4,5.2
North Rim,-112.0860,36.2819,2631,2021-02-04,0.00,-5.2,1.1,7.5
